title,author,price,edition,publish_date,item_url,image_url,category,released_year
Limits of Horror,Fred Botting,23.95,Paperback,04 Jan 2011,https://www.bookdepository.com/Limits-Horror-Fred-Botting/9780719083655?ref=grid-view&qid=1630182821668&sr=1-81,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2440/9780244068301.jpg,Horror,2011
Zombie Apocalypse! Horror Hospital,Stephen Jones,10.44                             ,Paperback,19 Jun 2014,https://www.bookdepository.com/Zombie-Apocalypse-Horror-Hospital-Stephen-Jones/9781472110664?ref=grid-view&qid=1630182821668&sr=1-82,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5255/9780525511984.jpg,Horror,2014
Simpsons Treehouse of Horror from Beyond the Grave,Matt Groening,21.30,Paperback,23 Aug 2011,https://www.bookdepository.com/Simpsons-Treehouse-Horror-from-Beyond-Grave-Matt-Groening/9780062069009?ref=grid-view&qid=1630182821668&sr=1-83,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7190/9780719083655.jpg,Horror,2011
The Innswich Horror,Edward Lee,16.84,Paperback,30 Jul 2010,https://www.bookdepository.com/Innswich-Horror-Edward-Lee/9781936383115?ref=grid-view&qid=1630182821668&sr=1-84,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4721/9781472110664.jpg,Horror,2010
Doctor Who: The Crimson Horror,Mark Gatiss,41.23,CD-Audio,01 Jun 2021,https://www.bookdepository.com/Doctor-Who-Crimson-Horror-Mark-Gatiss/9781529128963?ref=grid-view&qid=1630182821668&sr=1-85,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0620/9780062069009.jpg,Horror,2021
Bart Simpsons Treehouse of Horror Spine-Tingling Spooktacular,Matt Groening,19.67,Paperback,24 Oct 2001,https://www.bookdepository.com/Bart-Simpsons-Treehouse-Horror-Spine-Tingling-Spooktacular-Matt-Groening/9780060937140?ref=grid-view&qid=1630182821668&sr=1-86,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9363/9781936383115.jpg,Horror,2001
Adult Coloring Book Horror Hotel,A M Shah,8.65,Paperback,31 Oct 2017,https://www.bookdepository.com/Adult-Coloring-Book-Horror-Hotel-M-Shah/9781947855007?ref=grid-view&qid=1630182821668&sr=1-87,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5291/9781529128963.jpg,Horror,2017
"Now Write! Science Fiction, Fantasy and Horror",Laurie Lamson,18.58,Paperback,20 Feb 2014,https://www.bookdepository.com/Now-Write-Science-Fiction-Fantasy-Horror-Laurie-Lamson/9780399165559?ref=grid-view&qid=1630182821668&sr=1-88,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0609/9780060937140.jpg,Horror,2014
The Best of the Best Horror of the Year,Ellen Datlow,21.28,Paperback,18 Oct 2018,https://www.bookdepository.com/Best-Best-Horror-Year-Ellen-Datlow/9781597809832?ref=grid-view&qid=1630182821668&sr=1-89,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9478/9781947855007.jpg,Horror,2018
Supernatural Horror in Literature & Other Literary Essays,H P Lovecraft,13.41,Paperback,07 Apr 2011,https://www.bookdepository.com/Supernatural-Horror-Literature-Other-Literary-Essays-H-P-Lovecraft/9781434430823?ref=grid-view&qid=1630182821668&sr=1-90,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3991/9780399165559.jpg,Horror,2011
"Good Girl, Bad Girl",Michael Robotham,8.24                             ,Paperback,06 Aug 2020,https://www.bookdepository.com/Good-Girl-Bad-Girl-Michael-Robotham/9780751573435?ref=grid-view&qid=1630182826837&sr=1-61,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751573435.jpg,Thriller,2020
Orphan X,Gregg Hurwitz,13.09,Paperback,05 Nov 2016,https://www.bookdepository.com/Orphan-X-Gregg-Hurwitz/9781405910705?ref=grid-view&qid=1630182826837&sr=1-62,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405910705.jpg,Thriller,2016
Distress Signals,Catherine Ryan Howard,11.31                             ,Paperback,05 Jan 2017,https://www.bookdepository.com/Distress-Signals-Catherine-Ryan-Howard/9781782398400?ref=grid-view&qid=1630182826837&sr=1-63,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7823/9781782398400.jpg,Thriller,2017
"Motive (Alex Delaware series, Book 30)",Jonathan Kellerman,10.97                             ,Paperback,01 Sep 2015,https://www.bookdepository.com/Motive-Alex-Delaware-series-Book-30-Jonathan-Kellerman/9781472206442?ref=grid-view&qid=1630182826837&sr=1-64,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472206442.jpg,Thriller,2015
Close to Home,Cara Hunter,15.05,Paperback,14 Dec 2017,https://www.bookdepository.com/Close-Home-Cara-Hunter/9780241283097?ref=grid-view&qid=1630182826837&sr=1-65,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283097.jpg,Thriller,2017
Rogue Lawyer,John Grisham,10.40                             ,Paperback,06 May 2016,https://www.bookdepository.com/Rogue-Lawyer-John-Grisham/9781473622883?ref=grid-view&qid=1630182826837&sr=1-66,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473622883.jpg,Thriller,2016
